"Gene ID"	"Mouse_resection_12hr_1"	"Mouse_resection_12hr_2"	"Mouse_resection_12hr_3"	"Mouse_resection_24hr_1"	"Mouse_resection_24hr_2"	"Mouse_resection_24hr_3"	"Mouse_resection_48hr_1"	"Mouse_resection_48hr_2"	"Mouse_resection_48hr_3"	"Mouse_sham_12hr_1"	"Mouse_sham_12hr_2"	"Mouse_sham_12hr_3"	"Mouse_sham_24hr_1"	"Mouse_sham_24hr_2"	"Mouse_sham_24hr_3"	"Mouse_sham_48hr_1"	"Mouse_sham_48hr_2"	"Mouse_sham_48hr_3"
"ENSMUSG00000000001"	1469	1402	1981	1945	810	846	2378	2261	4067	2966	1031	1190	1787	2027	1068	2792	655	2768
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000028"	127	88	72	119	26	79	316	286	419	389	146	125	284	466	156	518	141	588
"ENSMUSG00000000031"	4434	9529	13500	8421	3403	4792	4705	7562	10271	17898	4462	4202	6203	9211	4238	9318	1730	12202
"ENSMUSG00000000037"	32	56	79	54	33	45	163	131	184	211	68	88	93	274	91	202	60	225
"ENSMUSG00000000049"	0	2	0	1	0	0	3	0	1	0	0	1	1	0	0	0	0	0
"ENSMUSG00000000056"	633	1031	1500	1026	541	670	1276	1643	1732	1948	749	573	1583	1825	959	2064	392	2012
"ENSMUSG00000000058"	1273	2046	3634	1737	1160	844	3513	2923	4059	3476	1420	1635	2377	3369	1691	4415	1061	3904
"ENSMUSG00000000078"	1734	2456	3867	2152	1082	1458	2323	2427	4217	3848	1206	1219	2004	2788	1549	2873	725	3493
"ENSMUSG00000000085"	613	1027	1338	900	431	722	1203	1471	1631	2149	660	566	1175	1559	795	1777	320	2166
"ENSMUSG00000000088"	18465	25587	28045	28471	12407	14836	42694	36040	64448	56145	21924	24445	28822	57714	28138	37273	14509	54247
"ENSMUSG00000000093"	34	101	69	74	26	52	59	105	153	198	45	59	118	118	34	144	15	142
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	12	15	21	23	6	10	41	77	66	122	25	17	62	70	22	43	5	74
"ENSMUSG00000000125"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	28	89	45	51	24	48	78	53	124	119	26	38	37	70	33	100	21	83
"ENSMUSG00000000127"	188	281	300	284	144	309	439	527	713	762	240	292	403	591	319	542	117	670
"ENSMUSG00000000131"	1225	1682	1766	1343	765	1643	1991	2324	2793	3856	1240	1129	1921	2778	1306	2491	609	3101
"ENSMUSG00000000134"	371	455	517	640	268	259	626	619	1105	980	325	307	468	686	311	830	198	730
"ENSMUSG00000000142"	20	26	25	8	9	21	14	10	37	33	9	11	16	19	11	28	2	41
"ENSMUSG00000000148"	195	265	376	258	143	229	332	287	433	608	179	162	308	399	175	383	96	454
"ENSMUSG00000000149"	760	1253	1603	1561	470	886	1623	1969	2775	2668	1006	992	1307	2138	950	2022	497	3045
"ENSMUSG00000000154"	5	1	0	4	2	13	5	6	13	10	3	2	2	6	6	0	3	6
"ENSMUSG00000000157"	5	9	6	3	1	0	2	3	5	4	1	4	1	4	1	3	1	5
"ENSMUSG00000000159"	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000167"	13	19	25	25	17	15	35	37	47	37	19	23	26	31	20	28	12	47
"ENSMUSG00000000168"	2027	2907	3969	3137	1349	2007	6470	5263	8360	7501	2937	3537	4054	6456	3308	6442	1646	7886
"ENSMUSG00000000171"	3495	5364	7334	5922	2231	3034	8941	8810	12408	12982	4759	5201	7625	10019	5722	11408	2330	13504
"ENSMUSG00000000182"	2	9	2	9	2	6	1	2	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000183"	3	3	0	4	2	3	9	4	6	13	7	4	6	20	0	3	4	11
"ENSMUSG00000000184"	2262	2850	5683	2126	1794	1979	4558	4756	6855	8570	2800	3028	5266	8860	3439	7909	1935	9729
"ENSMUSG00000000194"	607	811	895	700	352	597	978	1129	1576	1899	705	675	1005	1328	652	1349	302	1686
"ENSMUSG00000000197"	0	0	1	3	0	1	3	0	1	0	0	1	3	1	0	4	0	1
"ENSMUSG00000000202"	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	3
"ENSMUSG00000000204"	58	14	47	31	14	122	42	27	55	46	14	15	2	18	4	4	4	2
"ENSMUSG00000000214"	4	5	13	6	0	1	0	2	1	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSMUSG00000000216"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	15	23	27	16	5	10	15	15	40	28	9	6	21	23	10	17	5	27
"ENSMUSG00000000244"	57	4	5	22	6	9	14	18	34	9	4	2	4	10	5	8	4	12
"ENSMUSG00000000247"	1	0	1	5	0	1	5	2	11	3	0	0	4	3	5	11	1	8
"ENSMUSG00000000248"	0	0	0	0	0	0	2	3	4	2	0	0	0	0	0	0	0	0
"ENSMUSG00000000253"	518	1157	1149	1113	394	1048	1059	1406	1906	3041	731	756	1489	1824	861	2221	362	2265
"ENSMUSG00000000263"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000266"	870	1215	1835	1328	1068	955	2129	2468	2812	2511	997	1021	1699	2538	1325	2732	783	2822
"ENSMUSG00000000275"	1347	1587	2596	1394	768	1150	1841	1662	2475	2716	1018	1036	1582	2604	935	2182	512	2366
"ENSMUSG00000000276"	733	779	683	674	342	403	689	675	923	1724	748	651	667	915	804	1674	364	1414
"ENSMUSG00000000278"	129	224	200	410	101	159	310	455	801	588	164	205	336	486	193	500	98	650
"ENSMUSG00000000282"	186	311	409	316	90	185	257	378	483	644	216	170	289	353	150	398	65	412
"ENSMUSG00000000290"	368	51	89	331	74	369	122	201	476	117	40	22	22	34	50	51	17	95
"ENSMUSG00000000295"	71	109	84	121	30	54	123	137	181	204	80	111	114	157	88	106	45	197
"ENSMUSG00000000296"	29	63	44	24	9	22	53	84	125	62	27	51	49	82	40	73	12	96
"ENSMUSG00000000301"	5	9	11	9	0	6	21	10	22	9	5	8	12	8	2	2	2	11
"ENSMUSG00000000303"	82	9	7	4	2	3	0	2	3	3	2	2	1	0	1	0	0	5
"ENSMUSG00000000305"	47	23	15	12	6	8	13	24	34	50	14	12	25	34	5	42	11	63
"ENSMUSG00000000308"	15	4	4	6	2	2	1	1	6	1	1	3	5	2	2	6	0	9
"ENSMUSG00000000317"	255	463	476	417	186	288	628	675	933	1299	381	355	690	897	364	1151	202	1208
"ENSMUSG00000000318"	8	2	8	21	7	7	18	17	61	8	2	5	5	11	4	63	6	68
"ENSMUSG00000000320"	21	33	67	86	40	69	76	77	113	153	39	42	77	100	48	124	15	137
"ENSMUSG00000000325"	1	4	3	2	0	2	1	4	4	2	1	5	0	1	1	2	1	3
"ENSMUSG00000000326"	0	0	0	3	0	1	0	1	0	1	1	1	0	0	1	0	0	0
"ENSMUSG00000000339"	305	410	293	412	137	306	429	478	802	776	291	285	380	517	264	534	84	644
"ENSMUSG00000000340"	514	578	1037	572	311	392	986	889	1198	1303	471	540	762	980	654	1218	258	1211
"ENSMUSG00000000346"	2137	2673	3713	3238	1721	1503	3821	3401	5341	5617	1738	1602	3464	4192	2304	5343	1086	5396
"ENSMUSG00000000355"	204	174	386	325	165	210	483	405	731	595	215	234	303	502	276	664	172	602
"ENSMUSG00000000359"	61	102	136	140	48	58	115	141	257	306	79	77	145	165	75	180	44	298
"ENSMUSG00000000365"	19	15	12	10	9	9	71	16	24	28	10	27	32	26	11	42	3	57
"ENSMUSG00000000374"	708	1244	1664	887	383	875	1304	1507	2036	2324	843	882	1165	1681	854	1780	378	2294
"ENSMUSG00000000378"	152	188	187	170	54	143	138	225	270	303	96	103	115	186	98	184	34	303
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000384"	437	889	890	469	161	343	758	848	1280	1330	475	574	617	904	419	773	151	1470
"ENSMUSG00000000385"	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"ENSMUSG00000000386"	44	6	3	6	1	3	13	13	27	7	0	0	1	4	3	7	3	2
"ENSMUSG00000000392"	89	123	218	170	76	57	262	293	431	412	129	109	235	359	153	433	85	400
"ENSMUSG00000000394"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
