Gene_stable_ID	Gene_name	Distance	
ENSMUSG00000003119	Cdk12	-432482	
ENSMUSG00000038255	Neurod2	-381338	
ENSMUSG00000061718	Ppp1r1b	-353190	
ENSMUSG00000018167	Stard3	-329874	
ENSMUSG00000007877	Tcap	-326033	
ENSMUSG00000038216	Pnmt	-322805	
ENSMUSG00000038208	Pgap3	-310496	
ENSMUSG00000062312	Erbb2	-273270	
ENSMUSG00000002580	Mien1	-271995	
ENSMUSG00000019312	Grb7	-255613	
ENSMUSG00000018168	Ikzf3	-164955	
ENSMUSG00000017195	Zpbp2	-152321	
ENSMUSG00000038150	Ormdl3	-123618	
ENSMUSG00000086545	Lrrc3c	-111400	
ENSMUSG00000064224	Gsdma3	-72760	
ENSMUSG00000017211	Gsdma2	-53022	
ENSMUSG00000017204	Gsdma	-33278	
ENSMUSG00000017221	Psmd3	-15007	
ENSMUSG00000038067	Csf3	-7357	
ENSMUSG00000088169	Gm22059	0	
ENSMUSG00000017210	Med24	0	
ENSMUSG00000058756	Thra	29549	
ENSMUSG00000020889	Nr1d1	56843	
ENSMUSG00000052915	Msl1	84427	
ENSMUSG00000078676	Casc3	93816	
ENSMUSG00000038020	Rapgefl1	125696	
ENSMUSG00000038013	Wipf2	152549	
ENSMUSG00000017499	Cdc6	196712	
ENSMUSG00000037992	Rara	216729	
ENSMUSG00000047197	Gjd3	271091	
ENSMUSG00000020914	Top2a	281854	
ENSMUSG00000017493	Igfbp4	330155	
ENSMUSG00000017607	Tns4	354589	
ENSMUSG00000037944	Ccr7	433107	
ENSMUSG00000037935	Smarce1	497958	
ENSMUSG00000003119	Cdk12	-404417	
ENSMUSG00000038255	Neurod2	-353273	
ENSMUSG00000061718	Ppp1r1b	-325125	
ENSMUSG00000018167	Stard3	-301809	
ENSMUSG00000007877	Tcap	-297968	
ENSMUSG00000038216	Pnmt	-294740	
ENSMUSG00000038208	Pgap3	-282431	
ENSMUSG00000062312	Erbb2	-245205	
ENSMUSG00000002580	Mien1	-243930	
ENSMUSG00000019312	Grb7	-227548	
ENSMUSG00000018168	Ikzf3	-136890	
ENSMUSG00000017195	Zpbp2	-124256	
ENSMUSG00000038150	Ormdl3	-95553	
ENSMUSG00000086545	Lrrc3c	-83335	
ENSMUSG00000064224	Gsdma3	-44695	
ENSMUSG00000017211	Gsdma2	-24957	
ENSMUSG00000017204	Gsdma	-5213	
ENSMUSG00000085955	Gm12356	0	
ENSMUSG00000017221	Psmd3	0	
ENSMUSG00000038067	Csf3	17848	
ENSMUSG00000017210	Med24	21176	
ENSMUSG00000058756	Thra	57223	
ENSMUSG00000020889	Nr1d1	84517	
ENSMUSG00000052915	Msl1	112101	
ENSMUSG00000078676	Casc3	121490	
ENSMUSG00000038020	Rapgefl1	153370	
ENSMUSG00000038013	Wipf2	180223	
ENSMUSG00000017499	Cdc6	224386	
ENSMUSG00000037992	Rara	244403	
ENSMUSG00000047197	Gjd3	298765	
ENSMUSG00000020914	Top2a	309528	
ENSMUSG00000017493	Igfbp4	357829	
ENSMUSG00000017607	Tns4	382263	
ENSMUSG00000037944	Ccr7	460781	
ENSMUSG00000037935	Smarce1	525632	
